上海电信,#genre#
CCTV7,http://124.79.52.158:4022/udp/239.45.1.193:5140#http://116.229.55.128:4022/udp/239.45.1.193:5140#http://101.83.128.184:4022/udp/239.45.1.193:5140
CCTV8,http://124.79.52.158:4022/udp/239.45.1.113:5140#http://116.229.55.128:4022/udp/239.45.1.113:5140#http://101.83.128.184:4022/udp/239.45.1.113:5140
CCTV8,http://124.79.52.158:4022/udp/239.45.3.32:5140#http://116.229.55.128:4022/udp/239.45.3.32:5140#http://101.83.128.184:4022/udp/239.45.3.32:5140
CCTV10,http://124.79.52.158:4022/udp/239.45.1.195:5140#http://116.229.55.128:4022/udp/239.45.1.195:5140#http://101.83.128.184:4022/udp/239.45.1.195:5140
CCTV11,http://124.79.52.158:4022/udp/239.45.1.196:5140#http://116.229.55.128:4022/udp/239.45.1.196:5140#http://101.83.128.184:4022/udp/239.45.1.196:5140
CCTV11,http://124.79.52.158:4022/udp/239.45.3.50:5140#http://116.229.55.128:4022/udp/239.45.3.50:5140#http://101.83.128.184:4022/udp/239.45.3.50:5140
CCTV12,http://124.79.52.158:4022/udp/239.45.1.197:5140#http://116.229.55.128:4022/udp/239.45.1.197:5140#http://101.83.128.184:4022/udp/239.45.1.197:5140
CCTV13,http://124.79.52.158:4022/udp/239.45.1.198:5140#http://116.229.55.128:4022/udp/239.45.1.198:5140#http://101.83.128.184:4022/udp/239.45.1.198:5140
CCTV14,http://124.79.52.158:4022/udp/239.45.1.199:5140#http://116.229.55.128:4022/udp/239.45.1.199:5140#http://101.83.128.184:4022/udp/239.45.1.199:5140
CCTV14,http://124.79.52.158:4022/udp/239.45.3.23:5140#http://116.229.55.128:4022/udp/239.45.3.23:5140#http://101.83.128.184:4022/udp/239.45.3.23:5140
CCTV15,http://124.79.52.158:4022/udp/239.45.1.200:5140#http://116.229.55.128:4022/udp/239.45.1.200:5140#http://101.83.128.184:4022/udp/239.45.1.200:5140
CCTV15,http://124.79.52.158:4022/udp/239.45.3.39:5140#http://116.229.55.128:4022/udp/239.45.3.39:5140#http://101.83.128.184:4022/udp/239.45.3.39:5140
CCTV高网,http://124.79.52.158:4022/udp/239.45.3.120:5140#http://116.229.55.128:4022/udp/239.45.3.120:5140#http://101.83.128.184:4022/udp/239.45.3.120:5140
CCTV高网,http://124.79.52.158:4022/udp/239.45.1.243:5140#http://116.229.55.128:4022/udp/239.45.1.243:5140#http://101.83.128.184:4022/udp/239.45.1.243:5140
卫视,#genre#
宁夏卫视,http://124.79.52.158:4022/udp/239.45.1.213:5140#http://116.229.55.128:4022/udp/239.45.1.213:5140#http://101.83.128.184:4022/udp/239.45.1.213:5140
北京卫视,http://124.79.52.158:4022/udp/239.45.1.214:5140#http://116.229.55.128:4022/udp/239.45.1.214:5140#http://101.83.128.184:4022/udp/239.45.1.214:5140
湖南卫视,http://124.79.52.158:4022/udp/239.45.1.215:5140#http://116.229.55.128:4022/udp/239.45.1.215:5140#http://101.83.128.184:4022/udp/239.45.1.215:5140
江苏卫视,http://124.79.52.158:4022/udp/239.45.1.216:5140#http://116.229.55.128:4022/udp/239.45.1.216:5140#http://101.83.128.184:4022/udp/239.45.1.216:5140
浙江卫视,http://124.79.52.158:4022/udp/239.45.1.217:5140#http://116.229.55.128:4022/udp/239.45.1.217:5140#http://101.83.128.184:4022/udp/239.45.1.217:5140
海南卫视,http://124.79.52.158:4022/udp/239.45.1.218:5140#http://116.229.55.128:4022/udp/239.45.1.218:5140#http://101.83.128.184:4022/udp/239.45.1.218:5140
广西卫视,http://124.79.52.158:4022/udp/239.45.1.219:5140#http://116.229.55.128:4022/udp/239.45.1.219:5140#http://101.83.128.184:4022/udp/239.45.1.219:5140
山东卫视,http://124.79.52.158:4022/udp/239.45.1.221:5140#http://116.229.55.128:4022/udp/239.45.1.221:5140#http://101.83.128.184:4022/udp/239.45.1.221:5140
四川卫视,http://124.79.52.158:4022/udp/239.45.1.220:5140#http://116.229.55.128:4022/udp/239.45.1.220:5140#http://101.83.128.184:4022/udp/239.45.1.220:5140
东南卫视,http://124.79.52.158:4022/udp/239.45.1.224:5140#http://116.229.55.128:4022/udp/239.45.1.224:5140#http://101.83.128.184:4022/udp/239.45.1.224:5140
安徽卫视,http://124.79.52.158:4022/udp/239.45.1.223:5140#http://116.229.55.128:4022/udp/239.45.1.223:5140#http://101.83.128.184:4022/udp/239.45.1.223:5140
江西卫视,http://124.79.52.158:4022/udp/239.45.1.227:5140#http://116.229.55.128:4022/udp/239.45.1.227:5140#http://101.83.128.184:4022/udp/239.45.1.227:5140
辽宁卫视,http://124.79.52.158:4022/udp/239.45.1.222:5140#http://116.229.55.128:4022/udp/239.45.1.222:5140#http://101.83.128.184:4022/udp/239.45.1.222:5140
山西卫视,http://124.79.52.158:4022/udp/239.45.1.229:5140#http://116.229.55.128:4022/udp/239.45.1.229:5140#http://101.83.128.184:4022/udp/239.45.1.229:5140
吉林卫视,http://124.79.52.158:4022/udp/239.45.1.228:5140#http://116.229.55.128:4022/udp/239.45.1.228:5140#http://101.83.128.184:4022/udp/239.45.1.228:5140
青海卫视,http://124.79.52.158:4022/udp/239.45.1.230:5140#http://116.229.55.128:4022/udp/239.45.1.230:5140#http://101.83.128.184:4022/udp/239.45.1.230:5140
陕西卫视,http://124.79.52.158:4022/udp/239.45.1.232:5140#http://116.229.55.128:4022/udp/239.45.1.232:5140#http://101.83.128.184:4022/udp/239.45.1.232:5140
西藏卫视,http://124.79.52.158:4022/udp/239.45.1.231:5140#http://116.229.55.128:4022/udp/239.45.1.231:5140#http://101.83.128.184:4022/udp/239.45.1.231:5140
云南卫视,http://124.79.52.158:4022/udp/239.45.1.233:5140#http://116.229.55.128:4022/udp/239.45.1.233:5140#http://101.83.128.184:4022/udp/239.45.1.233:5140
甘肃卫视,http://124.79.52.158:4022/udp/239.45.1.234:5140#http://116.229.55.128:4022/udp/239.45.1.234:5140#http://101.83.128.184:4022/udp/239.45.1.234:5140
天津卫视,http://124.79.52.158:4022/udp/239.45.1.226:5140#http://116.229.55.128:4022/udp/239.45.1.226:5140#http://101.83.128.184:4022/udp/239.45.1.226:5140
广东卫视,http://124.79.52.158:4022/udp/239.45.1.235:5140#http://116.229.55.128:4022/udp/239.45.1.235:5140#http://101.83.128.184:4022/udp/239.45.1.235:5140
黑龙江卫视,http://124.79.52.158:4022/udp/239.45.1.236:5140#http://116.229.55.128:4022/udp/239.45.1.236:5140#http://101.83.128.184:4022/udp/239.45.1.236:5140
河北卫视,http://124.79.52.158:4022/udp/239.45.1.237:5140#http://116.229.55.128:4022/udp/239.45.1.237:5140#http://101.83.128.184:4022/udp/239.45.1.237:5140
内蒙古卫视,http://124.79.52.158:4022/udp/239.45.1.238:5140#http://116.229.55.128:4022/udp/239.45.1.238:5140#http://101.83.128.184:4022/udp/239.45.1.238:5140
湖北卫视,http://124.79.52.158:4022/udp/239.45.1.239:5140#http://116.229.55.128:4022/udp/239.45.1.239:5140#http://101.83.128.184:4022/udp/239.45.1.239:5140
贵州卫视,http://124.79.52.158:4022/udp/239.45.1.241:5140#http://116.229.55.128:4022/udp/239.45.1.241:5140#http://101.83.128.184:4022/udp/239.45.1.241:5140
河南卫视,http://124.79.52.158:4022/udp/239.45.1.242:5140#http://116.229.55.128:4022/udp/239.45.1.242:5140#http://101.83.128.184:4022/udp/239.45.1.242:5140
新疆卫视,http://124.79.52.158:4022/udp/239.45.1.116:5140#http://116.229.55.128:4022/udp/239.45.1.116:5140#http://101.83.128.184:4022/udp/239.45.1.116:5140
兵团卫视,http://124.79.52.158:4022/udp/239.45.1.117:5140#http://116.229.55.128:4022/udp/239.45.1.117:5140#http://101.83.128.184:4022/udp/239.45.1.117:5140
海南卫视,http://124.79.52.158:4022/udp/239.45.3.47:5140#http://116.229.55.128:4022/udp/239.45.3.47:5140#http://101.83.128.184:4022/udp/239.45.3.47:5140
浙江卫视,http://124.79.52.158:4022/udp/239.45.3.41:5140#http://116.229.55.128:4022/udp/239.45.3.41:5140#http://101.83.128.184:4022/udp/239.45.3.41:5140
辽宁卫视,http://124.79.52.158:4022/udp/239.45.3.42:5140#http://116.229.55.128:4022/udp/239.45.3.42:5140#http://101.83.128.184:4022/udp/239.45.3.42:5140
安徽卫视,http://124.79.52.158:4022/udp/239.45.3.43:5140#http://116.229.55.128:4022/udp/239.45.3.43:5140#http://101.83.128.184:4022/udp/239.45.3.43:5140
河南卫视,http://124.79.52.158:4022/udp/239.45.3.45:5140#http://116.229.55.128:4022/udp/239.45.3.45:5140#http://101.83.128.184:4022/udp/239.45.3.45:5140
山东卫视,http://124.79.52.158:4022/udp/239.45.3.44:5140#http://116.229.55.128:4022/udp/239.45.3.44:5140#http://101.83.128.184:4022/udp/239.45.3.44:5140
广西卫视,http://124.79.52.158:4022/udp/239.45.3.46:5140#http://116.229.55.128:4022/udp/239.45.3.46:5140#http://101.83.128.184:4022/udp/239.45.3.46:5140
江苏卫视,http://124.79.52.158:4022/udp/239.45.3.40:5140#http://116.229.55.128:4022/udp/239.45.3.40:5140#http://101.83.128.184:4022/udp/239.45.3.40:5140
四川卫视,http://124.79.52.158:4022/udp/239.45.3.48:5140#http://116.229.55.128:4022/udp/239.45.3.48:5140#http://101.83.128.184:4022/udp/239.45.3.48:5140
三沙卫视,http://124.79.52.158:4022/udp/239.45.1.82:5140#http://116.229.55.128:4022/udp/239.45.1.82:5140#http://101.83.128.184:4022/udp/239.45.1.82:5140
深圳卫视,http://124.79.52.158:4022/udp/239.45.1.115:5140#http://116.229.55.128:4022/udp/239.45.1.115:5140#http://101.83.128.184:4022/udp/239.45.1.115:5140
深圳卫视,http://124.79.52.158:4022/udp/239.45.3.141:5140#http://116.229.55.128:4022/udp/239.45.3.141:5140#http://101.83.128.184:4022/udp/239.45.3.141:5140
新疆卫视,http://124.79.52.158:4022/udp/239.45.3.142:5140#http://116.229.55.128:4022/udp/239.45.3.142:5140#http://101.83.128.184:4022/udp/239.45.3.142:5140
天津卫视,http://124.79.52.158:4022/udp/239.45.3.168:5140#http://116.229.55.128:4022/udp/239.45.3.168:5140#http://101.83.128.184:4022/udp/239.45.3.168:5140
江西卫视,http://124.79.52.158:4022/udp/239.45.3.169:5140#http://116.229.55.128:4022/udp/239.45.3.169:5140#http://101.83.128.184:4022/udp/239.45.3.169:5140
吉林卫视,http://124.79.52.158:4022/udp/239.45.3.170:5140#http://116.229.55.128:4022/udp/239.45.3.170:5140#http://101.83.128.184:4022/udp/239.45.3.170:5140
青海卫视,http://124.79.52.158:4022/udp/239.45.3.172:5140#http://116.229.55.128:4022/udp/239.45.3.172:5140#http://101.83.128.184:4022/udp/239.45.3.172:5140
西藏卫视,http://124.79.52.158:4022/udp/239.45.3.173:5140#http://116.229.55.128:4022/udp/239.45.3.173:5140#http://101.83.128.184:4022/udp/239.45.3.173:5140
陕西卫视,http://124.79.52.158:4022/udp/239.45.3.174:5140#http://116.229.55.128:4022/udp/239.45.3.174:5140#http://101.83.128.184:4022/udp/239.45.3.174:5140
甘肃卫视,http://124.79.52.158:4022/udp/239.45.3.175:5140#http://116.229.55.128:4022/udp/239.45.3.175:5140#http://101.83.128.184:4022/udp/239.45.3.175:5140
宁夏卫视,http://124.79.52.158:4022/udp/239.45.3.176:5140#http://116.229.55.128:4022/udp/239.45.3.176:5140#http://101.83.128.184:4022/udp/239.45.3.176:5140
黑龙江卫视,http://124.79.52.158:4022/udp/239.45.3.220:5140#http://116.229.55.128:4022/udp/239.45.3.220:5140#http://101.83.128.184:4022/udp/239.45.3.220:5140
内蒙古卫视,http://124.79.52.158:4022/udp/239.45.3.221:5140#http://116.229.55.128:4022/udp/239.45.3.221:5140#http://101.83.128.184:4022/udp/239.45.3.221:5140
湖北卫视,http://124.79.52.158:4022/udp/239.45.3.222:5140#http://116.229.55.128:4022/udp/239.45.3.222:5140#http://101.83.128.184:4022/udp/239.45.3.222:5140
贵州卫视,http://124.79.52.158:4022/udp/239.45.3.224:5140#http://116.229.55.128:4022/udp/239.45.3.224:5140#http://101.83.128.184:4022/udp/239.45.3.224:5140
河北卫视,http://124.79.52.158:4022/udp/239.45.3.226:5140#http://116.229.55.128:4022/udp/239.45.3.226:5140#http://101.83.128.184:4022/udp/239.45.3.226:5140
河南卫视,http://124.79.52.158:4022/udp/239.45.3.225:5140#http://116.229.55.128:4022/udp/239.45.3.225:5140#http://101.83.128.184:4022/udp/239.45.3.225:5140
